"Energy with dietary fibre, equated 
(kJ)","Protein 
(g)","Ash 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),"Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Zinc (Zn) 
(mg)","Retinol (preformed vitamin A) 
(ug)","Beta-carotene 
(ug)","Thiamin (B1) 
(mg)","Niacin (B3) 
(mg)","Pyridoxine (B6) 
(mg)","Cobalamin (B12) 
(ug)","Folate, natural 
(ug)","Total folates 
(ug)","Vitamin C 
(mg)","Cholecalciferol (D3) 
(ug)","Ergocalciferol (D2) 
(ug)","25-hydroxy cholecalciferol (25-OH D3) 
(ug)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),"Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
461,2.4,9.0,3.0,0.0,3.4,2.9,6.3,33,1.6,6.0,50,27,195,6.0,0.92,0,0,0.03,2.0,0.14,0.0,38,38,6,0.0,0,0.0,0.0,5.1,5.1,1.39,3.57,0.31,60.42,7.55,0,1
766,12.9,12.1,4.3,0.0,10.4,9.3,19.7,69,120.0,1.7,79,180,380,6.5,1.1,0,52,0.06,0.0,0.2,0.1,19,19,0,0.0,0,0.0,0.0,0.0,0.01,0.74,2.11,0.29,0.0,10.2,0,0
394,21.0,27.3,0.0,0.0,0.0,0.0,0.0,1380,67.5,20.5,39,596,393,24.2,2.0,437,0,0.01,3.7,0.27,0.8,13,13,0,0.0,0,0.0,0.0,1.5,1.51,0.27,0.05,0.01,92.07,15.04,0,163
725,0.8,2.2,0.9,0.0,38.4,3.8,42.2,12,2.2,0.4,9,12,130,0.5,0.03,0,40,0.015,0.05,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.3,0.34,0.0,0.0,0.0,0.0,0.0,0,0
412,1.3,2.2,1.9,0.0,3.6,2.2,5.8,21,3.0,0.78,18,13,144,1.4,0.25,19,0,0.03,1.26,0.01,0.0,28,28,0,0.0,0,0.0,0.0,2.0,1.97,3.13,0.79,0.2,0.0,82.31,0,18
649,0.0,0.1,1.1,0.0,40.0,0.0,40.0,3,0.0,0.41,2,4,50,0.4,0.03,0,0,0.015,0.1,0.01,0.0,1,1,1,0.0,0,0.0,0.0,0.9,0.93,0.0,0.0,0.0,0.0,0.0,0,0
213,6.8,20.7,1.2,0.0,4.4,0.0,4.4,30,33.0,1.55,118,12,215,21.0,0.74,0,14,0.0,1.8,0.4,0.0,51,51,0,0.0,0,0.0,0.0,0.0,0.0,0.08,0.03,0.0,26.25,6.78,0,0
922,1.6,5.7,10.4,0.0,33.5,3.7,37.2,41,1.6,4.7,14,34,51,0.0,0.6,0,4,0.01,1.1,0.06,0.0,23,23,1,0.0,0,0.0,0.0,0.0,0.0,0.82,2.71,0.38,0.0,0.0,0,0
471,2.8,10.3,0.3,0.0,15.6,5.4,21.0,40,3.0,3.9,24,7,210,4.4,0.9,40,0,0.02,0.6,0.02,0.0,15,15,0,0.0,0,0.0,0.0,0.0,0.0,0.16,0.24,0.01,3.84,0.0,0,0
240,0.8,2.2,1.3,0.0,3.5,3.1,6.6,9,0.0,0.81,10,20,89,1.0,0.2,0,22,0.53,1.05,1.55,0.0,33,33,0,0.0,0,0.0,0.0,1.6,1.65,0.3,0.95,0.23,0.0,62.38,0,0
1598,5.3,4.5,1.5,0.0,2.1,5.3,7.4,147,6.0,1.41,32,20,232,5.5,1.09,0,306,0.08,2.8,0.25,0.4,34,34,0,0.0,0,0.0,0.0,5.4,5.38,6.93,4.79,1.5,2.13,35.82,0,8
471,10.0,1.2,1.1,0.0,3.3,0.6,3.9,16,2.4,1.3,19,99,310,6.1,2.2,0,130,0.03,1.9,0.0,0.5,0,0,0,0.1,0,0.2,0.96,0.4,0.4,2.0,0.26,0.03,0.0,52.7,0,26
388,8.8,1.2,1.4,0.0,3.2,0.6,3.8,16,2.3,1.4,20,87,450,4.5,1.8,0,440,0.03,1.7,0.0,0.3,0,0,0,0.1,0,0.2,0.94,0.8,0.8,1.47,0.23,0.04,3.82,38.25,0,19
363,1.4,1.6,0.1,0.0,2.7,2.6,5.3,32,6.2,0.0,5,21,94,0.0,0.12,6,6,0.285,0.0,0.0,0.1,14,14,0,0.0,0,0.0,0.02,0.6,0.68,2.77,0.73,0.28,0.0,45.5,0,13
226,1.6,1.9,1.8,0.0,6.2,1.2,7.5,27,0.9,0.74,15,33,337,0.8,0.19,0,305,0.042,0.7,0.13,0.0,61,61,1,0.0,0,0.0,0.0,1.8,1.8,0.17,0.22,0.03,0.0,0.0,0,0
958,0.1,2.1,0.6,0.0,48.2,8.3,56.5,15,0.0,2.5,24,5,32,0.4,0.9,0,26,0.0,0.0,0.08,0.0,6,6,2,0.0,0,0.0,0.0,0.0,0.0,0.41,0.19,0.0,0.0,0.0,0,0
295,1.5,2.5,1.9,0.0,3.1,3.1,6.2,28,5.1,1.1,20,19,329,0.0,0.28,7,20,0.06,0.9,0.08,0.0,30,30,0,0.0,0,0.0,0.0,0.9,0.9,1.9,0.7,0.09,0.0,25.2,0,4
146,1.3,2.0,1.6,0.0,4.9,1.4,6.3,36,1.0,0.61,15,26,270,0.0,0.17,0,180,0.05,0.8,0.09,0.0,36,36,8,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
383,0.8,1.7,1.7,0.0,3.3,1.5,4.8,9,2.0,0.62,14,15,54,0.9,0.18,0,0,2.8,1.23,0.3,0.0,30,30,0,0.0,0,0.0,0.0,0.8,0.8,0.93,3.91,0.04,0.0,10.04,0,0
494,2.1,1.9,2.3,0.0,7.1,3.6,10.7,31,4.0,1.1,21,42,180,0.0,0.28,7,150,0.94,0.9,0.08,0.0,29,29,0,0.0,0,0.0,0.0,0.9,0.9,3.12,0.73,0.15,0.0,56.95,0,4
209,6.8,15.2,0.0,1.4,2.2,1.0,3.2,21,5.4,1.3,50,142,299,2.7,0.51,0,0,0.16,0.0,0.0,0.0,34,34,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162,5.4,9.1,0.0,0.9,1.7,1.0,2.7,17,1.5,2.2,32,89,180,5.0,0.3,0,0,0.0,0.5,0.09,0.0,44,44,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
57,1.3,2.0,0.6,0.0,0.1,0.0,0.1,12,0.7,1.16,12,23,128,0.5,0.16,0,919,0.032,0.18,0.15,0.0,1,1,4,0.0,0,0.0,0.0,0.0,0.01,0.12,0.43,0.0,0.0,0.0,0,0
437,1.3,2.5,1.3,0.0,23.7,0.4,24.1,13,4.6,0.65,14,27,292,0.0,0.15,0,240,0.03,0.0,0.0,0.0,16,16,0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
437,1.3,2.5,1.3,0.0,23.7,0.4,24.1,12,3.1,0.62,14,27,270,0.0,0.14,0,240,0.03,0.0,0.0,0.0,16,16,0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
748,3.9,0.9,0.2,0.0,5.1,5.7,10.8,99,21.3,0.12,12,92,145,2.2,0.37,100,27,0.032,0.44,0.02,0.3,5,5,0,0.2,0,0.0,0.22,0.3,0.3,9.21,0.24,0.08,0.21,339.4,0,30
311,1.3,5.0,0.0,0.0,16.9,0.7,17.6,160,1.0,3.7,83,23,890,4.0,0.4,0,8,0.0,0.4,0.61,0.1,2,2,0,0.0,0,0.0,0.0,0.1,0.12,0.04,0.04,0.0,3.86,0.0,0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.0,1,5,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2495,22.2,3.4,5.8,0.0,8.6,5.7,14.3,54,10.0,1.72,190,358,620,13.8,2.84,0,0,0.105,15.9,0.12,0.0,155,155,6,0.0,0,0.0,0.0,7.7,8.45,8.75,5.8,0.09,0.0,161.31,0,0
2628,24.3,3.4,6.5,0.0,5.2,4.2,9.4,54,17.5,1.72,177,358,632,13.8,2.84,0,0,0.105,12.4,0.12,0.0,155,155,6,0.0,0,0.0,0.0,7.7,8.45,9.44,4.4,0.0,0.0,176.5,0,0
624,13.3,14.6,11.8,0.0,11.8,4.8,16.6,25,8.8,46.3,71,500,1950,1.0,1.8,0,0,11.0,50.0,0.57,10.0,100,1600,0,0.0,0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0,0
683,24.4,14.0,6.5,0.0,1.6,9.3,10.9,68,8.8,4.03,130,880,2122,27.0,4.26,0,0,22.778,124.0,0.06,0.0,100,2454,0,0.0,0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0,0
1582,20.9,4.6,0.0,0.0,0.0,0.0,0.0,510,23.0,0.17,24,320,88,5.0,2.95,314,140,0.038,0.92,0.12,1.3,50,50,0,0.1,0,0.0,0.1,0.8,0.8,20.71,0.58,0.31,0.0,949.74,0,100
1032,16.6,1.4,0.0,0.0,0.0,0.0,0.0,320,76.0,0.0,10,230,13,7.9,2.2,130,81,0.0,0.0,0.0,1.6,23,23,0,0.1,0,0.0,0.1,0.9,0.9,14.45,0.36,0.11,0.0,190.89,0,60
1508,18.6,3.0,0.0,0.0,0.0,0.0,0.0,460,23.0,0.12,20,350,100,5.0,2.5,330,154,0.0,0.0,0.12,1.3,50,50,0,0.1,0,0.0,0.1,0.8,0.8,20.48,0.71,0.24,0.0,922.79,0,93
1223,18.6,2.7,0.0,0.0,0.0,0.0,0.0,490,13.0,0.0,19,370,98,9.0,2.7,500,154,0.0,0.0,0.13,1.1,90,90,0,0.1,0,0.0,0.1,0.8,0.8,15.56,0.49,0.18,0.0,697.22,0,93
1689,24.6,3.8,0.0,0.0,0.3,0.0,0.3,760,25.5,0.12,27,478,73,15.2,3.47,184,105,0.012,1.15,0.03,1.7,26,26,1,0.1,0,0.0,0.1,0.6,0.58,22.72,0.6,0.26,11.88,1258.04,0,102
1356,27.9,4.1,0.0,0.0,0.0,0.0,0.0,800,18.0,0.0,32,570,110,16.9,3.9,150,140,0.04,0.26,0.04,1.9,52,52,0,0.1,0,0.0,0.1,0.4,0.4,15.1,0.45,0.27,26.54,490.91,0,85
1166,34.4,4.3,0.0,0.0,0.0,0.0,0.0,995,18.0,0.18,35,590,110,16.9,3.97,120,172,0.075,0.26,0.04,1.9,52,52,0,0.1,0,0.0,0.1,0.4,0.43,9.87,0.29,0.18,17.35,320.98,0,45
1254,18.2,5.9,0.0,0.0,1.5,0.4,1.9,588,24.5,0.21,26,436,125,8.4,2.85,310,290,0.05,0.0,0.0,1.0,0,0,0,0.1,0,0.0,0.1,0.6,0.6,16.04,0.4,0.19,5.64,45.11,0,68
1054,22.4,6.3,0.0,0.0,4.9,0.0,4.9,886,23.0,0.31,23,382,170,12.3,2.76,110,95,0.02,2.8,0.06,1.8,20,20,2,3.1,0,0.0,3.1,0.4,0.35,10.26,0.35,0.12,0.0,480.25,0,50
556,17.0,1.4,0.0,0.0,1.8,0.0,1.8,89,15.3,0.05,8,143,123,5.7,0.24,31,44,0.048,0.46,0.04,0.5,3,3,0,0.1,0,0.0,0.1,0.0,0.04,3.47,0.19,0.07,3.6,253.07,0,22
1420,8.5,1.2,0.0,0.0,0.2,0.0,0.2,69,13.0,0.0,6,110,80,3.2,0.6,390,160,0.0,0.0,0.0,0.1,64,64,0,0.1,0,0.0,0.1,1.1,1.1,22.07,0.52,0.23,0.0,1515.76,0,110
1500,27.4,3.9,0.0,0.0,0.0,0.0,0.0,810,11.0,0.27,36,575,85,16.9,4.2,198,128,0.03,0.06,0.04,1.9,28,28,0,0.1,0,0.0,0.1,0.4,0.43,17.22,0.44,0.28,15.44,797.85,0,78
1136,16.6,4.1,0.0,0.0,0.4,0.0,0.4,315,26.5,0.32,15,260,74,7.2,1.56,72,170,0.02,0.0,0.0,0.9,0,0,0,0.1,0,0.0,0.1,0.6,0.6,14.16,0.55,0.15,0.0,547.91,0,75
1502,18.6,2.7,0.0,0.0,0.8,0.0,0.8,334,61.2,0.05,26,336,116,9.8,1.25,280,0,0.02,0.0,0.0,0.0,51,51,0,0.1,0,0.0,0.1,0.4,0.4,20.73,0.68,0.12,0.0,591.57,0,134
1194,21.2,3.1,0.0,0.0,0.9,0.0,0.9,63,84.3,0.0,11,197,127,9.8,0.31,193,0,0.02,0.0,0.0,0.0,51,51,0,0.1,0,0.0,0.1,0.4,0.4,14.38,0.47,0.08,0.0,410.13,0,93
1050,21.3,7.2,0.0,0.0,1.8,0.0,1.8,620,8.0,0.2,18,510,77,12.0,3.0,200,60,0.06,0.2,0.1,0.5,40,40,0,0.1,0,0.0,0.1,0.6,0.6,11.03,0.33,0.2,19.39,358.74,0,53
1213,22.2,3.4,0.0,0.0,0.0,0.0,0.0,685,28.8,0.06,28,515,79,8.5,3.12,130,94,0.0,0.0,0.0,1.0,48,48,0,0.1,0,0.0,0.1,2.1,2.1,14.37,0.33,0.12,20.88,668.3,0,71
1949,40.6,7.2,0.0,0.0,0.0,0.0,0.0,970,26.0,0.46,42,700,80,16.9,6.5,255,179,0.1,0.21,0.04,1.9,52,52,0,0.1,0,0.0,0.1,0.4,0.43,21.06,0.54,0.35,18.89,976.11,0,88
1565,32.0,5.2,0.0,0.0,0.0,0.0,0.0,948,38.0,0.17,41,648,78,14.0,3.7,210,110,0.02,0.0,0.0,1.8,61,61,0,0.1,0,0.0,0.1,1.1,1.1,18.73,0.46,0.13,0.0,408.24,0,90
665,10.4,1.1,0.0,0.0,2.7,0.0,2.7,170,19.0,0.0,10,120,91,5.9,0.73,98,81,0.0,0.0,0.01,0.2,6,6,0,0.1,0,0.0,0.1,0.6,0.65,7.73,0.2,0.08,0.0,234.17,0,50
996,3.8,1.6,0.0,0.0,0.7,3.2,3.9,30,2.3,2.35,228,222,199,4.6,1.72,0,25,0.0,0.5,0.07,0.0,22,22,0,0.0,0,0.0,0.0,0.6,0.6,3.08,11.69,1.36,0.0,430.56,0,0
1409,2.0,0.4,0.0,0.0,2.4,0.0,2.4,60,11.3,0.0,6,58,84,0.0,0.19,250,180,0.02,0.0,0.0,0.2,64,64,0,0.0,0,0.0,0.0,1.1,1.1,23.28,0.69,0.31,39.8,1862.65,0,110
1108,1.0,0.2,0.0,0.0,16.3,1.4,17.7,17,0.0,0.0,2,20,24,6.0,0.14,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,19.34,0.08,0.0,0.0,308.03,0,0
1414,1.9,0.4,0.0,0.0,2.0,0.0,2.0,50,15.0,0.0,5,48,74,0.0,0.18,320,140,0.0,0.0,0.0,0.1,57,57,0,0.0,0,0.0,0.0,1.1,1.1,23.46,0.58,0.2,0.0,1372.14,0,91
868,3.6,0.9,0.0,0.0,4.5,0.0,4.5,80,15.0,0.0,5,73,74,0.0,0.18,179,78,0.0,0.0,0.0,0.1,57,57,0,0.0,0,0.0,0.0,0.6,0.62,12.73,0.32,0.11,0.0,744.66,0,91
788,3.7,0.7,0.0,0.0,18.4,2.1,20.5,93,22.2,0.1,12,84,142,1.0,0.23,150,190,0.0,0.7,0.04,0.0,10,10,0,0.0,0,0.0,0.0,0.0,0.0,7.16,0.19,0.09,0.0,310.53,0,35
916,3.2,0.7,0.0,0.0,19.7,2.8,22.5,110,24.0,0.0,10,95,150,0.0,0.33,160,68,0.03,0.0,0.0,0.4,17,17,0,0.0,0,0.0,0.0,0.3,0.3,8.94,0.23,0.08,0.0,344.45,0,46
563,2.9,0.6,0.2,0.0,19.8,0.0,19.8,88,18.0,0.08,14,82,150,2.0,0.34,44,18,0.035,0.1,0.04,0.0,8,8,0,0.0,0,0.0,0.03,0.3,0.31,3.58,0.1,0.04,0.0,155.26,0,12
280,0.2,0.0,0.0,0.0,17.1,0.0,17.1,2,0.8,0.07,0,1,3,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
306,0.2,0.1,0.0,0.0,18.7,0.0,18.7,3,0.0,0.21,3,2,33,0.2,0.03,0,8,0.02,0.0,0.02,0.0,8,8,2,0.0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0,0
271,3.3,0.7,0.0,0.0,5.4,0.0,5.4,106,22.9,0.02,10,87,142,1.2,0.33,41,18,0.022,0.26,0.02,0.4,5,5,0,0.1,0,0.0,0.1,0.1,0.09,2.31,0.06,0.02,0.23,100.55,0,10
253,3.1,0.9,0.0,0.0,5.1,0.0,5.1,110,24.0,0.44,10,88,200,0.5,0.12,48,5,0.04,0.0,0.07,0.6,14,14,0,0.1,0,0.0,0.1,0.1,0.09,2.08,0.08,0.03,0.0,61.39,0,5
181,3.3,0.7,0.0,0.0,4.8,0.0,4.8,115,25.6,0.01,11,92,156,0.7,0.37,13,4,0.02,1.1,0.01,0.2,5,5,0,0.1,0,0.0,0.1,0.0,0.02,0.85,0.02,0.01,0.0,26.08,0,5
213,4.5,0.9,0.0,0.0,5.1,0.0,5.1,110,24.0,0.44,11,94,200,0.5,0.12,10,5,0.04,0.0,0.04,0.6,26,26,0,0.1,0,0.0,0.1,0.0,0.05,0.48,0.07,0.01,9.26,14.55,0,5
146,3.6,0.5,0.0,0.0,5.3,0.0,5.3,115,18.0,0.0,11,96,160,1.4,0.4,0,0,0.02,0.0,0.02,0.8,9,9,0,0.1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3
173,4.2,0.6,0.0,0.0,6.3,0.0,6.3,135,21.6,0.0,13,114,193,1.6,0.46,0,0,0.024,0.0,0.02,0.8,9,9,0,0.1,0,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.02,0.3,0,3
249,3.1,0.7,0.0,0.0,4.5,0.2,4.7,110,28.0,0.0,10,83,150,2.1,0.38,46,38,0.05,0.0,0.02,0.4,0,0,0,0.1,0,0.0,0.1,0.0,0.0,2.16,0.05,0.02,0.0,6.05,0,11
184,3.4,0.7,0.1,0.0,4.8,0.2,5.0,117,28.0,0.0,10,83,150,2.1,0.38,14,38,0.05,0.0,0.02,0.4,0,0,0,0.1,0,0.0,0.1,0.0,0.0,0.81,0.02,0.01,0.0,2.27,0,5
264,3.3,0.7,0.0,0.0,8.6,0.0,8.6,112,21.5,0.22,14,95,169,1.6,0.39,22,6,0.01,0.2,0.0,0.2,6,6,0,0.1,0,0.0,0.08,0.0,0.0,1.25,0.04,0.01,0.0,48.48,1,8
588,7.5,1.7,0.0,0.0,10.0,0.0,10.0,256,53.0,0.15,24,248,340,6.0,0.8,74,44,0.065,0.15,0.0,0.2,0,0,1,0.1,0,0.0,0.06,0.0,0.0,5.23,0.17,0.06,5.13,151.72,0,24
380,7.8,1.8,0.0,0.0,10.6,0.0,10.6,266,53.0,0.3,25,244,348,6.0,0.9,16,8,0.075,0.1,0.0,0.2,0,0,0,0.1,0,0.0,0.06,0.0,0.0,1.35,0.04,0.02,1.32,39.09,0,10
1362,8.3,1.9,0.0,0.0,55.0,0.0,55.0,268,36.0,0.15,25,255,357,8.0,0.9,70,46,0.08,0.3,0.0,0.4,0,0,1,0.1,0,0.0,0.06,0.2,0.2,6.03,0.14,0.07,0.0,304.29,0,31
2128,25.3,5.8,0.0,0.0,43.0,0.0,43.0,850,120.0,0.0,80,810,1300,12.0,2.3,350,120,0.2,0.0,0.19,0.7,117,117,41,0.6,0,0.0,0.6,0.9,0.9,18.26,0.46,0.18,0.0,508.23,0,110
2128,25.3,5.8,0.0,0.0,43.0,0.0,43.0,850,120.0,0.0,80,810,1300,12.0,2.3,447,120,0.2,0.0,0.19,0.7,117,117,41,5.3,0,0.0,5.3,0.9,0.9,18.26,0.46,0.18,0.0,508.23,0,110
1519,34.9,7.9,0.0,0.0,56.0,0.0,56.0,1100,200.0,0.0,110,1000,1800,15.0,3.3,4,16,0.23,0.0,0.23,1.6,26,26,13,0.6,0,0.0,0.6,0.0,0.0,0.51,0.04,0.01,0.76,14.89,0,29
286,1.3,0.2,0.0,0.0,6.8,0.0,6.8,32,3.0,0.03,3,14,51,1.8,0.17,60,7,0.014,0.18,0.01,0.0,5,5,5,0.1,0,0.0,0.1,0.1,0.08,1.9,0.37,0.03,2.98,99.22,0,14
392,3.3,0.7,0.0,0.0,11.6,2.3,13.9,120,13.0,0.05,11,120,165,1.0,0.39,5,15,0.05,0.0,0.01,0.2,2,2,0,0.1,0,0.0,0.08,0.0,0.03,1.96,0.04,0.02,0.0,98.89,0,11
1414,0.5,1.4,0.5,0.0,0.4,81.1,81.5,8,0.2,0.72,5,41,16,0.0,0.05,0,0,0.034,0.39,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.5,0.48,0.08,0.16,0.01,1.59,0.0,0,0
